County,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021,01/12/2021,01/13/2021,01/14/2021,01/15/2021,01/16/2021,01/17/2021,01/18/2021,01/19/2021,01/20/2021,01/21/2021,01/22/2021,01/23/2021,01/24/2021,01/25/2021,01/26/2021,01/27/2021,01/28/2021,01/29/2021,01/30/2021,01/31/2021,02/01/2021,02/02/2021,02/03/2021,02/04/2021,02/05/2021,02/06/2021,02/07/2021,02/08/2021,02/09/2021,02/10/2021,02/11/2021,02/12/2021,02/13/2021,02/14/2021,02/15/2021,02/16/2021,02/17/2021,02/18/2021,02/19/2021,02/20/2021,02/21/2021,02/22/2021,02/23/2021,02/24/2021,02/25/2021,02/26/2021,02/27/2021,02/28/2021,03/01/2021,03/02/2021,03/03/2021,03/04/2021,03/05/2021,03/06/2021,03/07/2021,03/08/2021,03/09/2021,03/10/2021,03/11/2021,03/12/2021,03/13/2021,03/14/2021,03/15/2021,03/16/2021,03/17/2021,03/18/2021,03/19/2021,03/20/2021,03/21/2021,03/22/2021,03/23/2021,03/24/2021,03/25/2021,03/26/2021,03/27/2021,03/28/2021,03/29/2021,03/30/2021,03/31/2021,04/01/2021,04/02/2021,04/03/2021,04/04/2021,04/05/2021,04/06/2021,04/07/2021,04/08/2021,04/09/2021,04/10/2021,04/11/2021,04/12/2021,04/13/2021,04/14/2021,04/15/2021,04/16/2021,04/17/2021,04/18/2021,04/19/2021,04/20/2021,04/21/2021,04/22/2021,04/23/2021,04/24/2021,04/25/2021,04/26/2021,04/27/2021,04/28/2021,04/29/2021,04/30/2021,05/01/2021,05/02/2021,05/03/2021,05/04/2021,05/05/2021,05/06/2021,05/07/2021,05/08/2021,05/09/2021,05/10/2021,05/11/2021,05/12/2021,05/13/2021,05/14/2021,05/15/2021,05/16/2021,05/17/2021,05/18/2021,05/19/2021,05/20/2021,05/21/2021,05/22/2021,05/23/2021,05/24/2021,05/25/2021,05/26/2021,05/27/2021,05/28/2021,05/29/2021,05/30/2021,05/31/2021,06/01/2021,06/02/2021,06/03/2021,06/04/2021,06/05/2021,06/06/2021,06/07/2021,06/08/2021,06/09/2021,06/10/2021,06/11/2021,06/12/2021,06/13/2021,06/14/2021,06/15/2021,06/16/2021,06/17/2021,06/18/2021,06/19/2021,06/20/2021,06/21/2021,06/22/2021,06/23/2021,06/24/2021,06/25/2021,06/26/2021,06/27/2021,06/28/2021,06/29/2021,06/30/2021,07/01/2021,07/02/2021,07/03/2021,07/04/2021,07/05/2021,07/06/2021,07/07/2021,07/08/2021,07/09/2021,07/10/2021,07/11/2021,07/12/2021,07/13/2021,07/14/2021,07/15/2021,07/16/2021,07/17/2021,07/18/2021,07/19/2021,07/20/2021,07/21/2021,07/22/2021,07/23/2021,07/24/2021,07/25/2021,07/26/2021,07/27/2021,07/28/2021,07/29/2021,07/30/2021,07/31/2021,08/01/2021,08/02/2021,08/03/2021,08/04/2021,08/05/2021,08/06/2021,08/07/2021,08/08/2021,08/09/2021,08/10/2021,08/11/2021,08/12/2021,08/13/2021,08/14/2021,08/15/2021,08/16/2021,08/17/2021,08/18/2021,08/19/2021,08/20/2021,08/21/2021,08/22/2021,08/23/2021,08/24/2021,08/25/2021,08/26/2021,08/27/2021,08/28/2021,08/29/2021,08/30/2021,08/31/2021,09/01/2021,09/02/2021,09/03/2021,09/04/2021,09/05/2021,09/06/2021,09/07/2021,09/08/2021,09/09/2021,09/10/2021,09/11/2021,09/12/2021,09/13/2021,09/14/2021,09/15/2021,09/16/2021,09/17/2021,09/18/2021,09/19/2021,09/20/2021,09/21/2021,09/22/2021,09/23/2021,09/24/2021,09/25/2021,09/26/2021,09/27/2021,09/28/2021,09/29/2021,09/30/2021,10/01/2021,10/02/2021,10/03/2021,10/04/2021,10/05/2021,10/06/2021,10/07/2021,10/08/2021,10/09/2021,10/10/2021,10/11/2021,10/12/2021,10/13/2021,10/14/2021,10/15/2021,10/16/2021,10/17/2021,10/18/2021,10/19/2021,10/20/2021,10/21/2021,10/22/2021,10/23/2021,10/24/2021,10/25/2021,10/26/2021,10/27/2021,10/28/2021,10/29/2021,10/30/2021,10/31/2021,11/01/2021,11/02/2021,11/03/2021,11/04/2021,11/05/2021,11/06/2021,11/07/2021,11/08/2021,11/09/2021,11/10/2021,11/11/2021,11/12/2021,11/13/2021,11/14/2021,11/15/2021,11/16/2021,11/17/2021,11/18/2021,11/19/2021,11/20/2021,11/21/2021,11/22/2021,11/23/2021,11/24/2021,11/25/2021,11/26/2021,11/27/2021,11/28/2021,11/29/2021,11/30/2021,12/01/2021,12/02/2021,12/03/2021,12/04/2021,12/05/2021,12/06/2021,12/07/2021,12/08/2021,12/09/2021,12/10/2021,12/11/2021,12/12/2021,12/13/2021,12/14/2021,12/15/2021,12/16/2021,12/17/2021,12/18/2021,12/19/2021,12/20/2021,12/21/2021,12/22/2021,12/23/2021,12/24/2021,12/25/2021,12/26/2021,12/27/2021,12/28/2021,12/29/2021,12/30/2021,12/31/2021
Anderson,257,0,0,0,417,105,-1,0,14,23,0,-63,75,-53,17,1,26,0,0,71,-9,-3,17,0,0,8,1,32,6,-2,12,0,93,10,-1,17,2,0,2,-2,-8,-4,13,-2,3,0,0,11,0,0,0,1,0,1,4,-5,20,8,0,0,-9,3,-1,7,-2,0,0,3,1,-7,1,9,1,0,-1,0,-12,4,-14,0,0,9,16,0,-8,-10,0,0,-15,0,-7,-15,0,-6,0,-10,5,4,-2,11,0,0,4,-2,-2,3,-6,0,0,0,-15,-3,49,-46,0,0,-6,-3,-3,21,-4,0,0,-14,11,-1,35,2,0,0,33,-13,1,7,-8,0,0,1,4,-8,2,0,-5,0,-5,-4,14,-9,0,0,0,0,-5,3,4,1,0,0,-6,6,6,5,-6,0,0,-1,-9,1,5,10,0,0,-17,-9,9,-18,6,0,0,11,-5,-3,-1,0,0,0,0,2,12,1,-7,0,0,-3,1,0,19,-8,0,0,-3,0,0,-10,0,0,0,-7,1,0,10,9,0,0,0,0,-3,8,0,0,0,20,16,0,-12,4,0,0,27,-4,-12,14,0,0,0,9,258,8,40,-13,0,0,16,-12,0,50,0,0,0,0,12,0,57,0,0,0,30,-18,1,21,0,0,0,5,7,-3,31,-1,0,0,-4,1,2,36,0,0,0,12,4,-3,9,0,0,0,2,-5,-1,29,-5,0,0,-5,1,-1,0,0,19,0,2,12,1,14,119,0,0,3,-11,6,4,128,0,0,0,20,0,2,0,0,0,24,0,0,0,2,0,0,-13,11,0,0,0,0,4,1,3,0,7,3,2,2,1,3,3,2,4,1,2,1,1,0,1,1,3,4,4,1,6,2,7,3,7,4,13,4,4
Andrews,17,0,0,0,5,0,48,0,37,0,0,35,0,0,0,48,0,0,0,0,13,5,6,0,0,0,0,0,19,0,0,0,6,0,17,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,1,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,23,6,0,0,0,0,0,0,0,0,0,0,0,0,70,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,3,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,16,5,7,0,0,0,0,0,17,0,0,0,0,0,22,0,33,0,0,0,0,36,0,34,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,295,0,0,0,16,0,46,0,0,0,0,0,0,28,23,0,0,0,0,31,0,0,0,32,0,0,0,0,15,0,0,0,0,0,0,0,0,29,0,0,91,0,9,0,0,0,0,2,0,0,0,0,0,7,8,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,3,0,1,8,6,2,0,9,1,0,7,4,13,2,2,1,0,5,3,10,5,0,0,0,0,16,27,16
Angelina,90,0,0,0,70,0,0,98,61,0,0,0,0,161,0,0,0,0,117,0,0,40,0,0,0,0,0,117,0,0,0,0,112,0,0,69,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,57,0,0,45,0,0,0,0,0,0,0,31,0,0,0,0,0,0,9,0,0,0,0,0,54,0,0,0,0,0,10,0,3,0,0,0,0,0,14,0,0,22,0,0,0,0,18,0,14,0,0,0,5,0,0,36,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,4,0,0,0,7,0,0,4,12,0,0,17,0,0,12,0,3,22,33,0,0,27,0,21,58,0,0,0,34,0,0,0,107,0,69,0,0,24,33,43,0,0,115,0,55,0,0,100,0,0,0,22,0,134,0,0,0,0,0,131,0,0,0,0,0,0,192,0,29,0,0,77,0,0,111,0,0,0,51,31,0,0,0,0,0,50,0,23,23,0,0,0,0,5,0,19,0,0,0,0,9,0,0,0,0,0,0,18,0,1,0,0,0,0,0,0,6,0,0,0,0,10,0,3,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,4,0,0,0,2,3,2,1,1,1,3,1,0,1,0,0,0,4,1,0,0,6,9,1,7,6,6,7,9,9,11,7,23
Aransas,1,0,6,0,8,2,10,7,1,9,0,8,12,8,16,2,11,0,1,11,3,0,6,5,0,2,7,5,12,16,4,0,19,4,10,10,11,3,0,1,5,5,6,4,3,0,6,2,1,0,0,0,0,0,3,4,0,1,7,0,11,1,0,4,0,1,0,3,1,2,0,1,1,0,0,5,1,0,2,0,0,3,0,6,1,0,2,0,5,4,3,4,3,1,0,3,0,2,1,1,0,0,0,3,4,0,0,0,0,2,2,2,0,0,0,0,2,0,2,2,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,2,1,0,0,2,0,0,3,0,3,2,1,6,0,1,8,3,5,7,10,0,0,0,8,5,4,9,0,9,4,1,10,0,11,0,12,9,24,13,17,18,0,15,33,17,8,17,13,0,18,24,14,12,8,5,0,15,11,9,6,23,5,0,16,29,26,28,28,13,0,0,53,27,19,14,4,0,18,24,5,16,11,7,0,7,1,7,2,2,8,0,10,7,5,0,7,1,0,4,3,6,3,1,6,0,7,2,1,0,1,0,0,2,1,1,0,0,0,0,0,0,2,0,2,2,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,3,0,-1,0,0,0,0,3,-1,0,0,0,6,0,0,8,4,0,1,1,2,5,1,0,0,0,2,1,1,0,0,1,2,1,5,0,2,1,5,2,1,9,0,1,4
Archer,6,0,0,0,37,7,18,6,0,0,0,15,3,3,6,5,0,0,0,9,3,5,3,0,0,5,0,1,1,0,0,0,2,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,1,2,1,0,0,4,4,1,0,1,0,0,9,3,0,1,1,0,0,12,3,9,1,2,0,0,4,8,24,3,0,0,0,30,2,8,6,5,0,0,0,11,4,0,2,0,0,10,5,3,3,8,0,0,12,1,1,0,6,0,0,6,2,5,5,6,0,0,8,4,2,3,5,0,0,7,2,1,4,-2,0,0,2,0,2,0,1,0,0,2,1,3,1,2,0,0,6,0,4,1,0,0,0,1,0,1,0,2,0,0,6,0,0,1,1,0,0,2,3,0,0,0,0,6,0,1,1,2,2,4,4,3,0,1,2,3,0,0,0,0,2,6,1,3,0,6,1,6,3,2,2,3,11,3,2,11
Armstrong,4,0,0,0,1,1,1,1,1,0,0,0,1,0,2,0,0,0,1,4,0,3,4,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-5,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,2,0,1,0,0,0,0,0,3,0,0,1,0,0,3,1,0,-3,-1,0,0,0,0,2,1,0,0,0,0,1,1,1,0,0,0,0,1,2,-1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,1,0,2,0,0,1,1,0,1,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
Atascosa,0,0,0,0,134,5,145,35,22,0,0,-4,170,0,30,64,0,0,0,79,139,0,77,0,0,0,10,136,1,118,0,0,9,66,14,19,15,0,0,50,50,-2,11,18,0,0,0,0,0,10,0,0,0,32,0,14,7,0,2,0,7,6,1,0,12,0,0,2,0,-1,17,3,0,0,0,14,4,1,2,0,0,-1,14,0,4,3,0,0,0,3,1,6,0,0,0,3,7,3,0,0,0,0,0,2,8,0,3,0,0,1,9,2,1,0,0,0,12,1,4,0,1,0,8,0,0,-1,7,-1,0,0,2,2,1,1,0,0,0,7,0,3,2,2,0,0,12,-10,-5,-5,1,0,0,0,2,-2,5,0,0,0,11,12,-2,0,0,0,0,0,1,1,4,1,0,0,0,0,2,1,2,0,0,2,1,0,0,0,0,4,2,1,3,1,0,0,0,21,5,3,7,4,0,0,13,20,8,11,4,0,0,45,14,32,15,14,0,0,75,18,31,34,19,0,0,53,31,0,61,5,0,0,112,53,15,32,15,0,2,72,59,17,23,2,0,0,115,34,49,77,28,0,0,0,143,35,10,0,0,16,89,40,67,0,0,0,45,0,65,13,0,0,0,19,8,48,10,1,0,0,1,0,81,11,7,0,0,0,8,20,7,4,0,0,8,3,12,3,3,0,0,3,4,0,19,1,0,0,0,0,0,0,10,0,0,2,3,0,0,10,0,0,0,14,14,0,23,0,0,23,0,0,0,0,0,0,0,28,1,1,6,6,2,4,3,2,4,12,4,0,4,2,4,1,14,7,7,2,5,5,4,9,11,6,2,13,3,12,11
Austin,6,12,22,39,13,11,11,4,18,20,19,18,30,9,18,9,17,15,19,27,0,5,12,18,0,12,0,6,9,15,14,0,24,7,4,5,17,3,6,0,13,1,12,6,8,5,6,7,5,1,0,4,0,-1,8,1,6,1,3,5,5,11,1,10,8,8,0,8,3,3,5,6,6,1,3,3,1,3,3,11,4,5,5,-1,5,8,2,8,8,10,0,1,3,2,3,1,5,2,0,2,9,5,8,0,4,2,0,0,4,4,1,2,2,-1,1,5,2,1,3,3,-1,0,5,7,2,0,1,6,1,1,0,1,3,0,2,0,1,1,3,2,0,-2,1,1,8,1,0,1,-7,0,0,0,4,2,1,0,1,3,0,0,1,0,3,1,1,1,0,1,0,1,2,0,0,0,1,0,0,0,2,0,0,0,5,0,2,1,1,1,0,1,0,9,2,2,1,0,5,1,5,0,0,5,6,4,2,8,4,3,0,12,9,6,4,11,16,4,7,5,5,8,6,5,8,6,1,20,15,16,6,13,9,12,10,3,8,0,8,18,10,13,16,16,0,15,6,21,11,12,10,10,24,16,10,7,4,5,19,18,31,8,3,16,7,2,10,14,5,7,11,5,7,11,1,6,5,3,7,5,2,6,5,8,9,4,9,8,9,4,4,5,3,3,0,-2,5,7,1,1,3,1,1,3,3,4,3,3,2,1,2,2,1,3,1,1,1,0,4,0,0,2,3,2,1,3,1,0,0,0,-1,0,0,0,0,2,3,1,2,2,6,1,5,2,3,8,1,2,2,3,4,8,3,5,4,4,19,7,18,7,9,8,7,16,9,6,8
Bailey,2,0,0,0,2,2,1,2,0,0,0,2,0,2,1,1,0,0,1,0,0,3,0,0,0,1,1,0,0,1,0,0,0,0,-2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,2,1,0,0,0,0,1,-1,0,2,0,0,0,1,0,1,1,0,0,0,0,-1,0,0,0,0,0,1,2,0,0,0,0,0,0,-11,0,1,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0,1,0,0,0,0,0,0,0,-1,0,0,2,0,0,0,0,-1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,1,3,0,0,0,0,3,1,1,0,0,0,3,1,3,1,0,0,0,0,2,0,0,0,0,0,0,3,0,2,1,0,0,0,-1,4,0,5,0,0,-1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,1,4,0,1,2,0,0,3,0,0,2,18,5,2,7,0,0,0,4,4,5,1,0,0,0,3,3,2,0
Bandera,1,0,0,0,38,17,32,11,13,0,0,0,37,0,7,10,0,0,0,20,32,0,8,0,0,0,0,38,0,29,0,0,1,41,9,6,7,0,0,11,10,0,6,5,0,0,0,0,0,0,0,0,0,6,0,3,0,0,1,0,1,2,2,0,2,0,0,0,0,0,1,2,0,0,0,1,3,-1,2,0,0,0,3,1,2,2,0,0,1,3,0,1,0,0,0,-1,1,2,0,0,0,0,0,0,4,0,0,0,0,0,5,5,0,0,0,0,0,0,3,3,1,0,8,0,0,2,2,0,0,0,6,0,1,3,1,0,0,5,-1,3,2,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5,0,0,0,0,1,0,0,1,2,0,0,0,0,0,-3,1,0,0,2,3,0,1,0,0,0,4,2,1,3,0,0,0,4,3,1,1,3,0,0,0,2,2,1,2,0,0,7,11,10,8,6,0,0,18,7,6,6,7,0,0,26,3,0,26,4,0,8,22,4,20,4,8,0,0,8,11,4,0,0,0,0,33,4,9,35,5,0,0,0,39,14,6,0,0,2,17,5,6,0,0,0,17,11,3,4,0,0,0,11,3,8,0,0,0,0,0,0,28,5,6,0,0,4,4,8,6,2,0,0,7,1,8,3,9,0,0,4,3,0,5,0,0,0,2,0,1,0,14,0,0,7,4,0,0,8,0,0,0,6,8,0,10,0,0,9,0,0,0,0,0,0,0,9,2,0,3,1,3,1,1,0,0,0,3,0,3,1,1,2,0,2,0,3,3,1,1,2,2,0,3,4,3,2,3
